,fractionnew,degradationrate,degradationrate_95%conf_low,degradationrate_90%conf_low,degradationrate_50%conf_low,degradationrate_bootstrapmedian,degradationrate_50%conf_high,degradationrate_90%conf_high,degradationrate_95%conf_high
ENSG00000000003,0.3333333333333333,0.3296464293562311,,,,,,,
ENSG00000000005,0.3333333333333333,0.3296464293562311,,,,,,,
ENSG00000000419,0.20157170923379175,0.1830163579563013,0.16762566575348212,0.17179219798618375,0.17574682269049144,0.18008298610020093,0.18758052653042534,0.1946478533337121,0.19673858923501622
ENSG00000000457,0.6398305084745762,0.8302280882400761,0.721895567790795,0.7475090497483017,0.7948348317528691,0.8294734026641284,0.8898794654275182,0.9605379817976083,0.9749884449239217
ENSG00000000460,0.38548539114043356,0.39587201356693513,0.3445671313485144,0.3520065107064759,0.3776896373306953,0.3944506373107123,0.41127833027279037,0.43568746521906093,0.4441730857188947
ENSG00000000938,1.0,inf,,,,,,,
ENSG00000000971,0.26523749474569147,0.25057557242884304,0.22510855299010252,0.22730311728609318,0.23629296144486756,0.24715433372182866,0.2569896284695419,0.2672552525246506,0.2680392912507787
ENSG00000001036,0.11627906976744186,0.10049915119282654,0.08539750825970956,0.08993369195608664,0.09661230145273235,0.10233440547344905,0.10576889771210599,0.11458014091541917,0.11656165055548899
ENSG00000001084,0.6483516483516484,0.8496939867618891,0.7352452391556237,0.7721106834148034,0.8011640710519418,0.8424391613897279,0.9015129144248895,0.9740688812156614,0.9925648986654294
ENSG00000001167,0.6924731182795699,0.9586933132743489,0.8534212088449539,0.8753206368535933,0.9154982405139575,0.9539285502492421,1.0047379620772965,1.0971326174781943,1.113234997543864
ENSG00000001460,0.4410480349344978,0.47292011352408336,0.35738484644417334,0.3603267122695635,0.4145712605797768,0.4717483239363658,0.5085085676765818,0.5414493729349125,0.5470364631177728
ENSG00000001461,0.4834983498349835,0.5371356061212693,0.4812366861815368,0.48238343782194865,0.5058589214291116,0.5335523739967427,0.5615177415301356,0.5836213087604581,0.596035446052944
ENSG00000001497,0.1266638042078145,0.11010950672832176,0.0968020934631239,0.0977220704299154,0.10528388370498679,0.10958768277740538,0.11421994282119191,0.11975703935920283,0.12048521566831517
ENSG00000001617,0.4117647058823529,0.4314050821643662,0.09575856557429555,0.11937021964901667,0.2552616230378346,0.42675696117832435,0.5635342931381669,0.8190100152330235,1.0655187868944043
ENSG00000001626,0.03755868544600939,0.031123728919525955,0.017143797345631432,0.017931809639374203,0.02314780048895458,0.026648675328502,0.03925119737268128,0.05195431055242291,0.058118971693927934
ENSG00000001629,0.7537520844913841,1.139362978784876,1.0657584973402099,1.0688170473056928,1.119926559089043,1.1393779104683204,1.1582327007712987,1.2204574176482634,1.2399472465375423
ENSG00000001630,0.24333333333333335,0.2266930546136573,0.18858265758054296,0.19346655833369528,0.21573477852126505,0.22814030123048812,0.24019930637001347,0.2650627059902498,0.27259524838480387
ENSG00000001631,0.36750998668442075,0.37243158351991335,0.33422748710621863,0.33854019561450055,0.35695718055698494,0.37351894599972923,0.39748714420729325,0.420789449932821,0.42224383203467275
ENSG00000002016,0.7163120567375887,1.024293037613197,0.8473423395719356,0.850121648254766,0.9286513171312369,1.0278015291576177,1.0914043875427548,1.2415563356373673,1.2589148620005037
ENSG00000002079,1.0,inf,,,,,,,
ENSG00000002330,0.17573696145124718,0.15712648656363573,0.13365947845263268,0.1360137620341685,0.146296243027018,0.15613123514562627,0.16323161111601672,0.17594779710121242,0.18073973229625964
ENSG00000002549,0.08438605356240525,0.07167516991840739,0.06351452069828759,0.06372901466422581,0.06672206543226009,0.07058663482161047,0.07432327040006156,0.08007222429725677,0.08407698696305904
ENSG00000002586,0.14329976762199845,0.12574569818240847,0.11143032563970577,0.11341997383063833,0.11893744169270688,0.12405971705329018,0.13166847373305118,0.1419584545553215,0.14529198195566045
ENSG00000002726,0.04,0.033188613431101764,0.0,0.0,0.0,0.0379032222521406,0.0657876698876107,0.0933595165939934,0.10209109426247728
ENSG00000002745,0.1,0.08565895581937095,0.0,0.0,0.0,0.07748795106042675,0.12113484392404417,0.19895523865732875,0.22925655744334605
ENSG00000002746,0.10344827586206896,0.08877991216666013,0.049424467351546944,0.049893452338448885,0.06490428539513379,0.08858231784416959,0.10777886202888222,0.13359289303862434,0.15070818360220894
ENSG00000002822,0.49115456238361266,0.5492772093107453,0.5115681481996271,0.5182379210641715,0.5331881378690912,0.5451438335624761,0.55688573435749,0.5760156986563061,0.5804206489514664
ENSG00000002834,0.22202735882146615,0.2041170089450079,0.1868453901247107,0.18776432594576045,0.19713092674652616,0.2035980575030438,0.21185063284611053,0.21889002704688468,0.22103496930585556
ENSG00000002919,0.47086247086247085,0.5174852857289548,0.44413184467843503,0.4480708082036197,0.48572527099338636,0.507442527701621,0.5339671027553416,0.5739435089203921,0.5782512128860898
ENSG00000002933,0.25,0.23388786378193568,,,,,,,
ENSG00000003056,0.3067484662576687,0.2978555951987169,0.26152231836843043,0.2662806853552907,0.2903797056370838,0.30439333547636915,0.3199162636385854,0.34623924700124,0.3516249088322473
ENSG00000003096,0.5024875621890548,0.5675892049357597,0.42777921840430944,0.4616859252544143,0.5294494815834272,0.5636026895101548,0.6199476075578316,0.6917307537373323,0.7487489047193719
ENSG00000003147,0.3221476510067114,0.3161185277269916,0.272507122370305,0.28564100469695203,0.3058786519209856,0.319753965272058,0.33311638474175864,0.35304189721607093,0.3642108889284198
ENSG00000003249,0.2,0.18141752139366643,0.13207696311813819,0.13600643222477313,0.16025596555410176,0.18660896689468232,0.2027395020277768,0.2232650263943756,0.24908567897489997
ENSG00000003393,0.5911602209944752,0.7271804374485009,0.6516281905538195,0.6617919030329622,0.6968983502417396,0.7282794465457514,0.7721575557223553,0.8204601155753584,0.823891901060583
ENSG00000003400,0.45151515151515154,0.48828912454853673,0.4249867881600198,0.4388762687939776,0.47482765575419794,0.4966656370591965,0.5241498902987705,0.5525210555513025,0.5540723090529998
ENSG00000003402,0.47534766118836913,0.5244060549080939,0.46289483901787887,0.4685882538721761,0.5058275832966839,0.5273466099949148,0.541435933288096,0.5711476554117703,0.5759183571112871
ENSG00000003436,0.20075400565504242,0.18218414863583746,0.14969819678572893,0.15606777858424165,0.16661622117674274,0.17979761373042863,0.18726538467922357,0.2020467396657761,0.20623579887617777
ENSG00000003509,0.4292682926829268,0.45596426369158694,0.3817843627149953,0.383244210721601,0.4294693896209456,0.4547249952388205,0.5008865593405292,0.5421936758752518,0.5699073587383169
ENSG00000003756,0.6538860103626943,0.8625911450099883,0.7619947662062558,0.7822167864334503,0.8279056525688266,0.8737002547975066,0.9047374567138907,0.9466792576512166,0.9557111494801588
ENSG00000003987,0.024390243902439025,0.020075294788919937,0.0,0.0,0.0,0.018307602695592593,0.03557479351891657,0.06431396982261407,0.07469512079259956
ENSG00000003989,0.16666666666666666,0.14822890796256472,0.0,0.0,0.07748795106042675,0.1578504182446809,0.23119574452380143,0.2875293784946913,0.3227427108227835
ENSG00000004059,0.06209150326797386,0.05211616763638997,0.048092605156457614,0.04829977171614092,0.04988637450790152,0.052164432899312184,0.054425167003723636,0.0575851148221264,0.05827201062517428
ENSG00000004139,0.13793103448275862,0.1206666708278645,0.0,0.0,0.030984084776793125,0.1163421493013604,0.17488730050158177,0.2821087745275875,0.3027903446133113
ENSG00000004142,0.12475557293703558,0.10833502960920002,0.09647146200498592,0.09696366109622698,0.10211659388682626,0.10821727618974374,0.1119384508506374,0.12007650470573925,0.12017873773181986
ENSG00000004399,0.22357723577235772,0.2057382990940919,0.14513267912363587,0.1518157372662065,0.1878254953628666,0.20455585076467547,0.2252179972031086,0.2534100796571472,0.2641762143283434
ENSG00000004455,0.11649387370405279,0.10069679115884346,0.09394202298028212,0.09463254395362254,0.09811565077094145,0.10205792881975585,0.10336181828241818,0.10551339636464942,0.10647416840737943
ENSG00000004468,0.0784313725490196,0.06640490326363181,0.025922442318863346,0.029778937417418466,0.04810612359553147,0.0687971242076619,0.09279259280078486,0.12714716161825854,0.1305554598051593
ENSG00000004478,0.125,0.10856210782481515,0.09374422271097578,0.09630676269420708,0.10370333564421892,0.10825758635756108,0.11369771222467284,0.11767063670392125,0.11871045436884169
ENSG00000004487,0.1262104583602324,0.10968758647358759,0.09837755621860979,0.10039877641349033,0.10491462395141782,0.10775194077587891,0.11082914448404337,0.11521758206817531,0.11595378347294158
ENSG00000004534,0.45435510887772196,0.4925096726728843,0.4617386798078834,0.46472767643146173,0.4820122150340944,0.489655974990432,0.502856349784709,0.5286145577001901,0.5361025084810124
ENSG00000004660,0.4788732394366197,0.5298877759325943,0.37866622862842586,0.3960071094094562,0.4568455627830833,0.5164582195928595,0.5699622962135447,0.6536275735496357,0.6882980550336071
ENSG00000004700,0.19948186528497408,0.18089113216836214,0.142114923508996,0.14687332654585442,0.16191965677063475,0.17989092931860495,0.19178363693389025,0.21285025827601697,0.21421856142564244
ENSG00000004766,0.6063249727371864,0.757910173921613,0.6949347790610797,0.696783568381201,0.729800389879441,0.751439471449318,0.7878808360047456,0.8148164959541855,0.8245190542921942
ENSG00000004776,0.375,0.3821167717445005,0.01927326505935847,0.10350901588135826,0.21171247099481688,0.3821167717445005,0.7309288731726968,1.4896796585681862,
ENSG00000004777,0.3404255319148936,0.3383417863617174,0.21551267906113958,0.22330458222717578,0.2796771691652198,0.3296464293562311,0.37836047919522076,0.4549721853133519,0.45644606037327745
ENSG00000004779,0.10944123314065511,0.09423267099642953,0.08811508911666913,0.08840907250567356,0.09073305257682941,0.09423742902811895,0.09679797315175089,0.09980457210207888,0.10116084293371051
ENSG00000004838,0.6666666666666666,0.8931807224943981,0.5289329806025606,0.531198335571312,0.7449518145318333,0.8605384694856002,1.072653233518928,1.3747161348279562,1.6785243402764431
ENSG00000004846,0.06837606837606838,0.057582156559847476,0.028958710083663984,0.029813639471657116,0.04150204540591919,0.05824581242008155,0.07464028394562834,0.10725816507524233,0.10747266083929272
ENSG00000004848,1.0,inf,,,,,,,
ENSG00000004864,0.3923853923853924,0.4050524122364354,0.3619272595252676,0.36633161873106973,0.3917584477117556,0.40071943772828467,0.4167298390021536,0.4413855573990599,0.44827453369604153
ENSG00000004866,0.4976303317535545,0.5596902759056904,0.5158718585017059,0.521108422608146,0.5377135144259347,0.5539686851828916,0.5733684886870538,0.6007461217376399,0.6028770942987014
ENSG00000004897,0.5489290214195716,0.6472606271691486,0.5848912606448657,0.6069607356364923,0.6358611594401272,0.6478788336596024,0.6607953114287535,0.6867057408607309,0.6936975217000628
ENSG00000004939,0.11764705882352941,0.101758652808135,0.0,0.02524129444644566,0.08968055299861986,0.10013983417985482,0.1117125597176228,0.16790391420726164,0.23407692317934717
ENSG00000004948,0.06896551724137931,0.058096718684670715,0.016196020140070603,0.022539664563561622,0.03849323242701046,0.058479067796899306,0.06826453668075953,0.09064598122609523,0.10236299932999524
ENSG00000004961,0.22910019144862795,0.2115421657408622,0.18518671202941625,0.18821157729995952,0.203185815814736,0.21009397814636,0.2211755057545659,0.23666360429213087,0.2374874789176137
ENSG00000004975,0.23774509803921567,0.2207107822966891,0.17458814219784546,0.18182008324172808,0.1994264695025439,0.2219975481713622,0.2369757861875089,0.2623663698306025,0.27462089513430177
ENSG00000005007,0.2845779938135219,0.2722623511836604,0.24809379549123825,0.25041197732366777,0.26155740323329535,0.2675624063789114,0.2731831973565198,0.2847291860210165,0.2939312677696165
ENSG00000005020,0.2841409691629956,0.27176586643220363,0.2273700160538618,0.23558399506504338,0.25700219292392956,0.2735163696947149,0.29230076330807464,0.31368112478041704,0.31695109185373344
ENSG00000005022,0.09259981792170634,0.07900139113247501,0.07474656913094078,0.07552381620433127,0.07697025050689472,0.07890686478953038,0.08014703866060427,0.08392591610989893,0.08424278905023061
ENSG00000005059,0.1989247311827957,0.1803255022501969,0.151003231378421,0.15667789556102413,0.16549989055116912,0.17817254010724357,0.19200738866566164,0.21481715898170867,0.21921961888928787
ENSG00000005075,0.14257932446264074,0.12506228527074714,0.11939783850408918,0.11984628635978947,0.12285642504256694,0.12470702706869692,0.12688416016962903,0.12906598223876853,0.13140158383015973
ENSG00000005100,0.3684210526315789,0.37360351981987006,0.3316175099247968,0.3339422587788897,0.35626023409063684,0.37034745139599645,0.3832841933450609,0.39332979211555885,0.39853415686587795
ENSG00000005102,1.0,inf,,,,,,,
ENSG00000005108,0.03125,0.025811949849252277,0.0017339165770506903,0.007915414885426608,0.015127160082539712,0.0268765617149545,0.0349853724023952,0.04809621074204505,0.049646329780514885
ENSG00000005156,0.21568627450980393,0.19751721838243047,0.1694549156898676,0.1705411964585191,0.1899207223161255,0.1991195098182425,0.20581267915308848,0.22351011445291305,0.23132527904510472
ENSG00000005175,0.32406892718176766,0.31842615562961035,0.293345787909109,0.29541677150123635,0.30602768845678985,0.31203634193685414,0.32038444376119074,0.3499640615055534,0.35242630271982955
ENSG00000005187,0.16389548693586697,0.14552980332055634,0.10245548952773742,0.10726034716294351,0.1286821780310493,0.14308947768316851,0.16032596601613933,0.17793128366873687,0.17875855748138297
ENSG00000005189,0.2601880877742947,0.24500755915384922,0.19164898475838307,0.19386279757407424,0.2104408410600031,0.2359818568152417,0.25951880638432484,0.2935588567916433,0.30673739442487963
ENSG00000005194,0.1999031945788964,0.1813191478524875,0.16624945388477683,0.167432606561678,0.17536168599127172,0.1807418275444148,0.18769640375928545,0.1956085846476728,0.1989392451762629
ENSG00000005206,0.17560975609756097,0.1570010278173452,0.13381671351715035,0.13557184492977928,0.1507486195732857,0.15765862576557618,0.16813973176877786,0.1795971241188867,0.18103682025882048
ENSG00000005238,0.8247422680412371,1.4158517353228997,1.142495397824719,1.1501343560423158,1.3012699749584136,1.4886509190891104,1.66657442315911,1.9695089860250532,2.0753781584649813
ENSG00000005243,0.8,1.3084861076700005,0.7783033188234104,0.8931807224943981,1.0185064784515188,1.3084861076700005,,,
ENSG00000005249,0.2074715069649641,0.1890461955451184,0.17343100097944908,0.1776992976400327,0.18189701190204802,0.18872899725001918,0.19485251200820597,0.20117037415083633,0.2027208859997803
ENSG00000005302,0.21069868995633187,0.19236353050029725,0.17297516308079053,0.17433971823938063,0.18574509728060676,0.1927206626894865,0.20562044502924234,0.22720621243712852,0.24069428541505528
