	chr	end	ensemblgene	start	strand
ENSMUSG00000000001	3	108053462	ENSMUSG00000000001	108014596	-1
ENSMUSG00000000037	X	160041209	ENSMUSG00000000037	159865521	1
ENSMUSG00000000049	11	108305222	ENSMUSG00000000049	108234180	1
ENSMUSG00000000056	11	121146682	ENSMUSG00000000056	121128079	1
ENSMUSG00000000058	6	17289114	ENSMUSG00000000058	17281184	1
ENSMUSG00000000078	13	5920393	ENSMUSG00000000078	5911481	1
ENSMUSG00000000085	4	120387383	ENSMUSG00000000085	120262478	1
ENSMUSG00000000088	9	57439709	ENSMUSG00000000088	57428557	1
ENSMUSG00000000126	11	59224378	ENSMUSG00000000126	59197754	1
ENSMUSG00000000131	7	125799673	ENSMUSG00000000131	125700887	-1
ENSMUSG00000000134	X	7641441	ENSMUSG00000000134	7628799	1
ENSMUSG00000000148	5	140705134	ENSMUSG00000000148	140690766	1
ENSMUSG00000000149	5	140816186	ENSMUSG00000000149	140744163	-1
ENSMUSG00000000154	7	143053071	ENSMUSG00000000154	143027473	1
ENSMUSG00000000167	9	50536300	ENSMUSG00000000167	50528621	1
ENSMUSG00000000168	9	50571080	ENSMUSG00000000168	50545933	-1
ENSMUSG00000000171	9	50515112	ENSMUSG00000000171	50507657	-1
ENSMUSG00000000184	6	127129156	ENSMUSG00000000184	127102125	-1
ENSMUSG00000000194	2	31108787	ENSMUSG00000000194	31042328	1
ENSMUSG00000000248	6	128961670	ENSMUSG00000000248	128911344	1
ENSMUSG00000000253	13	45707276	ENSMUSG00000000253	45660920	1
ENSMUSG00000000266	X	139668464	ENSMUSG00000000266	139565348	1
ENSMUSG00000000275	11	88911119	ENSMUSG00000000275	88890202	1
ENSMUSG00000000276	11	88957676	ENSMUSG00000000276	88926005	-1
ENSMUSG00000000278	11	88846291	ENSMUSG00000000278	88814846	-1
ENSMUSG00000000282	11	74736551	ENSMUSG00000000282	74721746	1
ENSMUSG00000000295	10	31204200	ENSMUSG00000000295	31189379	1
ENSMUSG00000000296	10	31321954	ENSMUSG00000000296	31208372	-1
ENSMUSG00000000301	11	59937315	ENSMUSG00000000301	59861440	-1
ENSMUSG00000000339	3	116301857	ENSMUSG00000000339	116282612	-1
ENSMUSG00000000340	3	116343630	ENSMUSG00000000340	116306719	1
ENSMUSG00000000355	X	37702303	ENSMUSG00000000355	37689455	1
ENSMUSG00000000359	2	152477118	ENSMUSG00000000359	152468871	1
ENSMUSG00000000374	10	78080475	ENSMUSG00000000374	78022559	-1
ENSMUSG00000000378	11	6546744	ENSMUSG00000000378	6496887	1
ENSMUSG00000000384	11	6576067	ENSMUSG00000000384	6565598	-1
ENSMUSG00000000399	6	126826099	ENSMUSG00000000399	126798684	-1
ENSMUSG00000000439	6	115599585	ENSMUSG00000000439	115578863	1
ENSMUSG00000000440	6	115467360	ENSMUSG00000000440	115337912	1
ENSMUSG00000000441	6	115653596	ENSMUSG00000000441	115595028	-1
ENSMUSG00000000486	7	126832302	ENSMUSG00000000486	126813619	-1
ENSMUSG00000000538	11	60243731	ENSMUSG00000000538	60117540	-1
ENSMUSG00000000561	3	105877353	ENSMUSG00000000561	105866685	1
ENSMUSG00000000563	3	105867415	ENSMUSG00000000563	105850014	-1
ENSMUSG00000000567	11	112678586	ENSMUSG00000000567	112673050	1
ENSMUSG00000000568	5	100126797	ENSMUSG00000000568	100103794	-1
ENSMUSG00000000581	11	17219176	ENSMUSG00000000581	17207579	1
ENSMUSG00000000594	11	55003855	ENSMUSG00000000594	54988941	1
ENSMUSG00000000600	5	3895564	ENSMUSG00000000600	3853184	1
ENSMUSG00000000605	7	7303850	ENSMUSG00000000605	7285308	-1
ENSMUSG00000000628	6	82751435	ENSMUSG00000000628	82702006	-1
ENSMUSG00000000631	11	77756806	ENSMUSG00000000631	77654072	1
ENSMUSG00000000686	11	77429433	ENSMUSG00000000686	77405947	1
ENSMUSG00000000690	11	96192395	ENSMUSG00000000690	96183302	1
ENSMUSG00000000693	6	83029543	ENSMUSG00000000693	83011154	1
ENSMUSG00000000711	10	128532133	ENSMUSG00000000711	128513044	-1
ENSMUSG00000000730	10	77899456	ENSMUSG00000000730	77877781	1
