gene1	gene2	same_allele_r	ctrl_r
Gm28438	Gm10222	0.17924102756393842	0.06358291857893135
Gm38211	Col5a2	0.41670067607532063	0.3585873342811616
Cd55	Gm15675	0.22743131105450676	0.14202921033309035
Ptgs2os2	Ptgs2	0.3415093716126285	0.2649696574738424
Gm13339	Gm13340	0.14461103411418766	0.057699489591929415
Mfap1a	Mfap1b	0.22256367695974089	0.11689461768153525
Fabp4	Pmp2	0.11825186790561365	0.06115161988386955
Gm15264	Tuft1	0.3045982066918809	0.2186634285451727
Gbp2	Gbp3	0.11235158506357595	0.06846035804933462
Clca3b	Clca3a1	0.08960822494810541	0.04793654576628195
Cdkn2b	Cdkn2a	0.25677312924228807	0.21482180506609977
Snora73b	Snhg3	0.11149119545507563	0.06358266007842252
Steap1	Steap2	0.2010260808420728	0.14670728113267878
Gm43426	Slit2	0.2070721676499042	0.16124262301868508
C530043K16Rik	Apbb2	0.20985718146160856	0.14673955580347336
Zfp932	Gm15446	0.05819047328837382	0.1462181588194577
Rasl11a	Usp12	0.20634825536348184	0.15576674281091096
Hoxa11os	Hoxa10	0.14130263611647492	0.10045575750156523
Loxl3	Dok1	0.32832264001368017	0.27841976729811635
AW146154	Gm20449	0.045129719213278845	0.0021569900032320493
Nup62	Atf5	0.08527009346535969	0.13178174929893918
Fan1	Gm20457	0.06829124896876719	0.00456386236688538
9130019O22Rik	Zfp747	0.10895279452660576	0.05523899025263527
E430018J23Rik	Zfp747	0.04535578748252472	0.002229942011200148
Zfp764	9130019O22Rik	0.09460934920584503	0.040021967358386305
Tnfrsf23	Tnfrsf22	0.21334916698339354	0.1486800430857259
Col4a2	Col4a1	0.6288355140857019	0.5039239509127951
Mt1	Mt2	0.548590754176012	0.4351347026778768
Vat1l	Nudt7	0.13117220795223594	0.07662695416158809
Gm49338	Gm16536	0.07500245486201226	0.013302546140401703
Hivep2	Aig1	0.1923467594711996	0.14272390882197594
Timp3	Syn3	0.20142417552698438	0.14500475296612217
Lyz1	Lyz2	0.09352252795014412	0.017223093377819663
Gm48878	Avpr1a	0.1743001082748256	0.13206083100169624
Ccl7	Ccl2	0.8303701993244622	0.6991462120108698
Ccl8	Ccl2	0.4449494516655974	0.4010377595081859
Ccl8	Ccl7	0.46485205354051495	0.4169044050117896
Nme1	Gm20390	0.6270407529584534	0.539243554280727
Tns4	Igfbp4	0.20320945081825134	0.13336023202466923
Mipol1	Prps1l3	0.20139849460339926	0.10023529602951635
Synj2bp	Gm20498	0.12082248117045641	0.06292609400154396
Serpina3g	Serpina3f	0.27069900294180704	0.16752210047400748
Serpina3i	Serpina3f	0.20156718577065416	0.26071229395589046
Serpina3i	Serpina3g	0.2172764214813569	0.28361221105452983
Serpina3i	Serpina3h	0.4359530242031357	0.251938626688499
Syne3	Gm28875	0.1439460043449659	0.09912877098299851
Bdkrb1	Bdkrb2	0.17055025395221385	0.11147098112337406
Rian	Meg3	0.37452884777774115	0.12464159080490608
Gm37899	Rian	0.20873684158564518	0.056357962718690174
B830012L14Rik	Rian	0.2486963622035699	0.09692646578970673
B830012L14Rik	Gm37899	0.19798616709080719	0.0624790715591357
Mirg	Gm37899	0.13967394776923636	0.04705907098477987
Mirg	B830012L14Rik	0.19364714530019658	0.07002327482893425
Dio3	Dio3os	0.40113638942279534	0.21371030777707856
Selenok-ps8	Gm48228	0.16011293382489042	0.02454285292761748
Selenok-ps5	Gm48228	0.06267223977059877	0.01958158863173323
Zfp874b	Zfp874a	0.11018260849942907	0.06176877594677089
Gzme	Mcpt8	0.23710169280028648	0.12885649498131624
Gzmd	Mcpt8	0.1978856352802491	0.15057385238697107
Gzmd	Gzme	0.3500753347469686	0.17761982603940857
Gm49257	Gm18787	0.5598783605562283	0.16978323089548278
